bayna/1a/01/0	(определённый артикль).	اَلْـ...
bayna/1a/01/02	Аллах	اَللّٰهُ
bayna/1a/01/03	(частица принадлежности)	لِـ...
bayna/1a/01/04	принадлежит Аллаху	لِلّٰهِ
bayna/1a/01/05	мир вам	اَلسَّلَامُ عَلَيْكُمْ
bayna/1a/01/1	и вам мир	وَعَلَيْكُمُ السَّلَامُ
bayna/1a/01/2	имя моё	اِسْمِي
bayna/1a/01/21	что	مَا
bayna/1a/01/3	как зовут тебя? [что имя твоё?]	مَا اسْمُكَ
bayna/1a/01/4	как	كَيْفَ
bayna/1a/01/40	хвала	حَمْدٌ
bayna/1a/01/41	хвала.	اَلْحَمْدُ
bayna/1a/01/5	как дела твои?	كَيْفَ حَالُكَ
bayna/1a/01/51	и; а	وَ
bayna/1a/01/511	имя моё и имя твоё (м.р.)	اِسْمِي وَاسْمُكَ
bayna/1a/01/52	а что	وَمَا
bayna/1a/01/6	и хвала принадлежит Аллаху	وَالْحَمْدُ لِلّٰهِ
bayna/1a/01/7	хорошо [с благом]	بِخَيْرٍ
bayna/1a/01/8	ты	أَنْتَ
bayna/1a/01/a	как зовут тебя? [что имя твоё?] (ж.р.)	مَا اسْمُكِ
bayna/1a/01/b	дела твои [состояние твоё] (ж.р.)	حَالُكِ
bayna/1a/01/c	ты (ж.р.)	أَنْتِ
bayna/1a/01/c1	из (от)	مِنْ
bayna/1a/01/c2	где	أَيْنَ
bayna/1a/01/d	откуда ты? [из где ты?]	مِنْ أَيْنَ أَنْتَ
bayna/1a/01/e	я	أَنَا
bayna/1a/01/e0	Россия	رُوسِيَا
bayna/1a/01/f	Пакистан	بَاكِسْتَانُ
bayna/1a/01/f1	из Пакистана	مِنْ بَاكِسْتَانَ
bayna/1a/01/g	(вопросительная частица)	هَلْ
bayna/1a/01/g0	россиянин [русский]	رُوسِيٌّ
bayna/1a/01/h	пакистанец [пакистанский]	بَاكِسْتَانِيٌّ
bayna/1a/01/i	да	نَعَمْ
bayna/1a/01/j	а какая твоя национальность? [а что за национальность твоя (м р.)]	وَمَا جِنْسِيَّتُكَ أَنْتَ؟
bayna/1a/01/k	турок [турецкий]	تُرْكِيٌّ
bayna/1a/01/l	Турция	تُرْكِيَا
bayna/1a/01/m	добро пожаловать	أَهْلًا وَسَهْلًا
bayna/1a/01/n	Египет	مِصْرْ
bayna/1a/01/n0	из Египта	مِنْ مِصْرَ
bayna/1a/01/n1	египтянка [египетская]	مِصْرِيَّةٌ
bayna/1a/01/n2	национальность твоя (ж.р.)	جِنْسِيَّتُكِ
bayna/1a/01/o	сирийка [сирийская]	سُورِيَّةٌ
bayna/1a/01/o1	Сирия	سُورِيَا
bayna/1a/01/o2	сириец [сирийский]	سُورِيٌّ
bayna/1a/01/p0	это брат мой	هَذَا أَخِي
bayna/1a/01/p1	он	هُوَ
bayna/1a/01/p2	учитель [дающий уроки]	مُدَرِّسٌ
bayna/1a/01/p21	это, этот (м.р)	هَٰذَا
bayna/1a/01/p3	друг (мой)	صَدِيقِي
bayna/1a/01/p4	инженер	مُهَنْدِسٌ
bayna/1a/01/p5	до свидания [с миром]	مَعَ السَّلَامَةِ
bayna/1a/01/q0	это сестра моя	هَذِهِ أُخْتِي
